target,n,r2_oof,rmse_oof,mae_oof,model,ridge_alpha,n_folds,seed,n_features
attention,68,-0.22547133827058596,0.9633982680576253,0.7636372026591282,ridge,10.0,5,123,17
p_factor,68,-0.0033346033367942507,0.9541701733976901,0.7522043470176466,ridge,10.0,5,123,17
internalizing,68,0.025018941337436873,0.7715944134862048,0.6211019238297234,ridge,10.0,5,123,17
externalizing,68,-0.2118524508338857,0.7569761651368283,0.5706295045459981,ridge,10.0,5,123,17
