raw_file,n_samples,sfreq,n_windows,win_sec,step_sec
sub-NDARAC589YMB_ThePresent_raw.npy,101638,128.0,793,2.0,1.0
sub-NDARAC853CR6_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAC853CR6_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAC853CR6_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAC853CR6_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC853CR6_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAC853DTE_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAC853DTE_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAC853DTE_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAC853DTE_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC853DTE_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAC857HDB_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAC857HDB_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAC857HDB_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAC857HDB_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC857HDB_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAC904DMU_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAC904DMU_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAC904DMU_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAC904DMU_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC904DMU_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAD224CRB_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAD224CRB_DiaryOfAWimpyKid_raw.npy,58696,128.0,457,2.0,1.0
sub-NDARAD224CRB_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAD224CRB_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAD224CRB_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAD232HVV_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAD571FLB_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAD571FLB_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAD571FLB_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAD571FLB_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAD571FLB_ThePresent_raw.npy,101534,128.0,792,2.0,1.0
sub-NDARAD615WLJ_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAD615WLJ_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAD615WLJ_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAD615WLJ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAD615WLJ_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAD774HAZ_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAD774HAZ_DiaryOfAWimpyKid_raw.npy,58696,128.0,457,2.0,1.0
sub-NDARAD774HAZ_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAD774HAZ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAD774HAZ_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAE301XTM_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAE301XTM_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAE301XTM_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAE301XTM_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAE301XTM_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAE710YWG_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAE710YWG_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAE710YWG_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAE710YWG_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAE710YWG_ThePresent_raw.npy,101644,128.0,793,2.0,1.0
sub-NDARAE828CML_DespicableMe_raw.npy,85272,128.0,665,2.0,1.0
sub-NDARAE828CML_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAE828CML_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAE828CML_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAE828CML_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAE866UVF_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAE866UVF_DiaryOfAWimpyKid_raw.npy,58696,128.0,457,2.0,1.0
sub-NDARAE866UVF_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAE866UVF_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAE866UVF_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAE877NER_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAE877NER_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAE877NER_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAE877NER_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAE877NER_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAF003VCL_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAF003VCL_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAF003VCL_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAF003VCL_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAF003VCL_ThePresent_raw.npy,101644,128.0,793,2.0,1.0
sub-NDARAF440XWG_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAF440XWG_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAF440XWG_FunwithFractals_raw.npy,81495,128.0,635,2.0,1.0
sub-NDARAF440XWG_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAF440XWG_ThePresent_raw.npy,101539,128.0,792,2.0,1.0
sub-NDARAF535XK6_DespicableMe_raw.npy,85275,128.0,665,2.0,1.0
sub-NDARAF535XK6_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAF535XK6_FunwithFractals_raw.npy,81501,128.0,635,2.0,1.0
sub-NDARAF535XK6_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAF535XK6_ThePresent_raw.npy,101534,128.0,792,2.0,1.0
sub-NDARAG143ARJ_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAG143ARJ_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAG143ARJ_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAG143ARJ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAG143ARJ_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAG191AE8_DespicableMe_raw.npy,85279,128.0,665,2.0,1.0
sub-NDARAG191AE8_DiaryOfAWimpyKid_raw.npy,58702,128.0,457,2.0,1.0
sub-NDARAG191AE8_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAG191AE8_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAG191AE8_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAG340ERT_DespicableMe_raw.npy,85272,128.0,665,2.0,1.0
sub-NDARAG340ERT_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAG340ERT_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAG340ERT_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAG340ERT_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAG584XLU_DespicableMe_raw.npy,85280,128.0,665,2.0,1.0
