unit,rmse,mse,r2,n_test,d,alpha,train_frac
61,3.0736790093463223e-07,9.447502652496188e-14,0.27990715291039625,316,160,10.0,0.7
62,1.4098830922373426e-09,1.9877703337767314e-18,0.0,238,160,10.0,0.7
63,1.913209050074554e-09,3.660368869287178e-18,0.0,200,160,10.0,0.7
64,3.548858586952317e-09,1.2594397270185196e-17,0.0,137,160,10.0,0.7
65,1.7960327682794089e-09,3.2257337047333965e-18,0.0,191,160,10.0,0.7
66,1.4795612122829408e-09,2.189101380892165e-18,0.0,316,160,10.0,0.7
67,6.514069583500166e-09,4.2433102538682025e-17,0.0,238,160,10.0,0.7
68,4.187090737638596e-10,1.7531728845218923e-19,0.0,200,160,10.0,0.7
69,3.9798147689021783e-10,1.58389255947719e-19,0.0,191,160,10.0,0.7
70,1.0358348179477228e-09,1.0729537700727923e-18,0.0,316,160,10.0,0.7
71,4.621035401747771e-05,2.1353968184206183e-09,-9.530911762177434,238,160,10.0,0.7
72,4.647902825288919e-10,2.1603000673328717e-19,0.0,200,160,10.0,0.7
73,4.77058220487811e-10,2.275845457349969e-19,0.0,137,160,10.0,0.7
74,1.0110398592563645e-09,1.0222015970051294e-18,0.0,191,160,10.0,0.7
75,1.8099273763055215e-09,3.275837107500189e-18,0.0,316,160,10.0,0.7
76,1.0403411263757826e-05,1.0823096592288322e-10,-1.226494106012821,238,160,10.0,0.7
77,6.081678841859429e-10,3.698681753552064e-19,0.0,200,160,10.0,0.7
78,1.0304392658919848e-09,1.0618050806920124e-18,0.0,137,160,10.0,0.7
79,1.0695151071797055e-08,1.143862564485617e-16,0.10781514868283015,191,160,10.0,0.7
80,2.318548209776162e-09,5.375665801056246e-18,0.0,316,160,10.0,0.7
81,6.339338374204072e-10,4.0187211022656323e-19,0.0,238,160,10.0,0.7
82,3.1220564316306806e-09,9.747236362286498e-18,0.0,200,160,10.0,0.7
83,8.826829914854661e-10,7.791292634577314e-19,0.0,137,160,10.0,0.7
84,1.7103176545167578e-07,2.925186479351704e-14,-3.8351179864610714,191,160,10.0,0.7
85,2.31773552863239e-08,5.371897980684864e-16,-3.347010094214734,316,160,10.0,0.7
86,9.077021694847021e-10,8.2392322848723475e-19,0.0,238,160,10.0,0.7
87,3.055781880901133e-10,9.337802903643669e-20,0.0,200,160,10.0,0.7
88,1.5039262403398223e-10,2.2617941363826728e-20,0.0,137,160,10.0,0.7
89,2.5423746254921245e-10,6.46366873634622e-20,0.0,191,160,10.0,0.7
90,2.74935118651683e-10,7.558931946801502e-20,0.0,316,160,10.0,0.7
91,3.0588055826677e-10,9.356291592559086e-20,0.0,238,160,10.0,0.7
92,1.2247745893332933e-09,1.500072794676537e-18,0.0,200,160,10.0,0.7
93,1.8107795550721287e-09,3.2789225970672168e-18,0.0,137,160,10.0,0.7
94,2.0073133371272602e-09,4.029306833408978e-18,0.0,191,160,10.0,0.7
95,5.4833037156613946e-09,3.0066619638186055e-17,-0.3227253321801504,316,160,10.0,0.7
96,1.3001429797222688e-09,1.6903717677210996e-18,0.0,238,160,10.0,0.7
97,8.472270523417173e-10,7.177936782196349e-19,0.0,316,160,10.0,0.7
98,1.779037928284195e-10,3.1649759502737203e-20,0.0,200,160,10.0,0.7
99,2.0117120575519647e-10,4.046985402499959e-20,0.0,137,160,10.0,0.7
100,4.0831132027133773e-10,1.6671813426172294e-19,0.0,191,160,10.0,0.7
101,2.544708413428803e-10,6.475540909375336e-20,0.0,316,160,10.0,0.7
102,2.647192958326405e-10,7.007630558612903e-20,0.0,238,160,10.0,0.7
103,2.5235250744147825e-09,6.368178801200134e-18,0.0,200,160,10.0,0.7
104,7.515626812929955e-10,5.648464639123166e-19,0.0,137,160,10.0,0.7
105,3.907172767766363e-09,1.5265999037175065e-17,0.0,191,160,10.0,0.7
106,5.675348000068238e-10,3.2209574921878553e-19,0.0,316,160,10.0,0.7
107,9.928732206966637e-10,9.85797232376566e-19,0.0,238,160,10.0,0.7
108,9.940342120888404e-10,9.881040148030815e-19,0.0,200,160,10.0,0.7
109,1.6833210448755014e-09,2.8335697401207496e-18,0.0,137,160,10.0,0.7
